,high,low,open,close,volume,exchTimeMs,timeMs,symbol
2020-01-01 00:00:00+00:00,0.00204,0.002,0.002029,0.002017,1298775.2292999995,1577920827291.0,1577920827295.0,DOGE-USDT.OK
2020-01-02 00:00:00+00:00,0.002064,0.001947,0.002015,0.002002,36092511.59240001,1578004521558.0,1578004521570.0,DOGE-USDT.OK
2020-01-03 00:00:00+00:00,0.002703,0.001971,0.00198,0.002703,6158894.1941,1573459151641.0,1578041571900.0,DOGE-USDT.OK
2020-01-04 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-05 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-06 00:00:00+00:00,0.002703,0.002074,0.002703,0.002122,7770222.139400001,1578353527770.0,1578353527802.0,DOGE-USDT.OK
2020-01-07 00:00:00+00:00,0.002228,0.002106,0.002148,0.002177,13471231.8313,1578440951400.0,1578440951404.0,DOGE-USDT.OK
2020-01-08 00:00:00+00:00,0.002225,0.002067,0.002182,0.002096,25866400.590499997,1578527789885.0,1578527789934.0,DOGE-USDT.OK
2020-01-09 00:00:00+00:00,0.002155,0.002066,0.002095,0.002133,2758040.332,1578613055039.0,1578613055046.0,DOGE-USDT.OK
2020-01-10 00:00:00+00:00,0.002201,0.002094,0.002133,0.002201,5795964.942400002,1578700741069.0,1578700741072.0,DOGE-USDT.OK
2020-01-11 00:00:00+00:00,0.002217,0.002164,0.002199,0.002175,10741080.9723,1578785802015.0,1578785802024.0,DOGE-USDT.OK
2020-01-12 00:00:00+00:00,0.002208,0.002163,0.002166,0.002205,9647616.771700002,1578871372204.0,1578871372209.0,DOGE-USDT.OK
2020-01-13 00:00:00+00:00,0.0022,0.002182,0.002194,0.002182,1067859.8462000003,1578890337206.0,1578890337243.0,DOGE-USDT.OK
2020-01-14 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-15 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-16 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-17 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-18 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-19 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-20 00:00:00+00:00,0.002404,0.002342,0.002392,0.002375,4599502.6938000005,1579563671202.0,1579563677251.0,DOGE-USDT.OK
2020-01-21 00:00:00+00:00,0.002703,0.002335,0.002362,0.00237,3551748.7534000007,1579645566179.0,1579645567419.0,DOGE-USDT.OK
2020-01-22 00:00:00+00:00,0.002379,0.002313,0.00236,0.002345,38799795.029399976,1579736554696.0,1579736555103.0,DOGE-USDT.OK
2020-01-23 00:00:00+00:00,0.002363,0.00223,0.002345,0.002259,28833711.996400002,1579823977329.0,1579823982735.0,DOGE-USDT.OK
2020-01-24 00:00:00+00:00,0.002291,0.002202,0.002258,0.002263,21001092.625400007,1579907477025.0,1579907477027.0,DOGE-USDT.OK
2020-01-25 00:00:00+00:00,0.002263,0.002224,0.002259,0.002248,57164219.64370001,1579995123640.0,1579995123641.0,DOGE-USDT.OK
2020-01-26 00:00:00+00:00,0.0023,0.002238,0.002248,0.002292,10851864.405,1580082665060.0,1580082691430.0,DOGE-USDT.OK
2020-01-27 00:00:00+00:00,0.00243,0.00226,0.002293,0.002366,26236754.507599995,1580168811759.0,1580168812359.0,DOGE-USDT.OK
2020-01-28 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-01-29 00:00:00+00:00,0.002416,0.002382,0.002399,0.002402,4970860.1688,1580336400893.0,1580336400895.0,DOGE-USDT.OK
2020-01-30 00:00:00+00:00,0.002418,0.002358,0.00237,0.002416,10314148.394800002,1580426028809.0,1580426028812.0,DOGE-USDT.OK
2020-01-31 00:00:00+00:00,0.00244,0.002365,0.002419,0.002382,10609828.574400002,1580515000170.0,1580515000196.0,DOGE-USDT.OK
2020-02-01 00:00:00+00:00,0.002418,0.002369,0.002388,0.002406,32325871.659900002,1580595601659.0,1580595601662.0,DOGE-USDT.OK
2020-02-02 00:00:00+00:00,0.00249,0.002405,0.002412,0.002443,9439008.227900004,1580686902215.0,1580686902217.0,DOGE-USDT.OK
2020-02-03 00:00:00+00:00,0.002492,0.002417,0.002433,0.002418,27955833.065299995,1580769850432.0,1580769850434.0,DOGE-USDT.OK
2020-02-04 00:00:00+00:00,0.002519,0.002402,0.00242,0.002507,93967053.58420002,1580860445327.0,1580860445328.0,DOGE-USDT.OK
2020-02-05 00:00:00+00:00,0.002624,0.002517,0.002518,0.002587,109191960.31740002,1580946845482.0,1580946845489.0,DOGE-USDT.OK
2020-02-06 00:00:00+00:00,0.002701,0.002571,0.002591,0.002643,48190711.301299974,1581017984482.0,1581017984484.0,DOGE-USDT.OK
2020-02-07 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-08 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-09 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-10 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-11 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-12 00:00:00+00:00,0.003154,0.003044,0.003107,0.003055,29835521.008800004,1581551974513.0,1581551974515.0,DOGE-USDT.OK
2020-02-13 00:00:00+00:00,0.003206,0.002954,0.003075,0.003028,75073521.04899998,1581632446794.0,1581632446795.0,DOGE-USDT.OK
2020-02-14 00:00:00+00:00,0.003086,0.002977,0.002995,0.003071,24650580.580599997,1581694627757.0,1581694627759.0,DOGE-USDT.OK
2020-02-15 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-16 00:00:00+00:00,0.002694,0.002599,0.002684,0.002681,9536929.734600002,1581874039056.0,1581874039057.0,DOGE-USDT.OK
2020-02-17 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-18 00:00:00+00:00,0.002862,0.002706,0.002726,0.002813,34124086.8796,1582063508117.0,1582063508119.0,DOGE-USDT.OK
2020-02-19 00:00:00+00:00,0.002849,0.00255,0.00283,0.002605,33575050.803700015,1582156419855.0,1582156419857.0,DOGE-USDT.OK
2020-02-20 00:00:00+00:00,0.00268,0.0025,0.002625,0.002646,50510788.561299995,1582242740296.0,1582242740297.0,DOGE-USDT.OK
2020-02-21 00:00:00+00:00,0.002716,0.00262,0.00264,0.002693,17204961.007000003,1582303565934.0,1582303565936.0,DOGE-USDT.OK
2020-02-22 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-23 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-24 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-02-25 00:00:00+00:00,0.002514,0.002423,0.002436,0.002475,17696821.406799998,1582675197838.0,1582675197844.0,DOGE-USDT.OK
2020-02-26 00:00:00+00:00,0.002487,0.0022,0.002474,0.002353,42701166.641999975,1582760634186.0,1582760634188.0,DOGE-USDT.OK
2020-02-27 00:00:00+00:00,0.002412,0.002286,0.002341,0.002327,53226737.70709996,1582847230407.0,1582847230408.0,DOGE-USDT.OK
2020-02-28 00:00:00+00:00,0.002366,0.002246,0.002341,0.00225,2704501.083499999,1582884558445.0,1582884558447.0,DOGE-USDT.OK
2020-02-29 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-03-01 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-03-02 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-03-03 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-03-04 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
2020-03-05 00:00:00+00:00,,,,,,,,DOGE-USDT.OK
